emotion,is_in_order_1,is_in_order_2,is_in_order_3,length_words_no_stop,normalized_order_1,normalized_order_2,normalized_order_3,normalized_r_score,order_1_length,order_2_length,order_3_length,r_affect_density_score,r_affect_score
melancholy,4,4,6,41,44.4444444444,6.1538461538,1.2820512821,8.1082621083,9,65,468,3.5772357724,1.4666666667
grief,1,5,5,41,20,27.7777777778,4.9504950495,6.4411441144,5,18,101,2.4390243902,1
remorse,1,5,5,41,16.6666666667,17.8571428571,2.1551724138,4.7071702244,6,28,232,2.4390243902,1
sadness,1,5,6,41,14.2857142857,8.9285714286,1.0291595197,3.3424201585,7,56,583,2.6016260163,1.0666666667
resignation,1,2,3,41,16.6666666667,4.347826087,0.3875968992,3.2384001798,6,46,774,1.3821138211,0.5666666667
depression,3,5,11,41,9.0909090909,2.1645021645,0.4359889021,1.7606676584,33,231,2523,4.2276422764,1.7333333333
pity,1,5,6,41,5.8823529412,4.9504950495,0.6403415155,1.5181310962,17,101,937,2.6016260163,1.0666666667
distress,1,1,10,41,7.6923076923,0.5464480874,0.6045949214,1.3770024189,13,183,1654,2.2764227642,0.9333333333
hope,1,1,7,41,3.7037037037,0.3717472119,0.2903359602,0.6738144025,27,269,2411,1.7886178862,0.7333333333
compassion,0,1,5,41,0,2.8571428571,1.9607843137,0.41643324,6,35,255,1.0569105691,0.4333333333
disappointment,0,1,1,41,0,3.3333333333,0.3787878788,0.3585858586,4,30,264,0.406504065,0.1666666667
fear,0,4,8,41,0,1.8181818182,0.3626473255,0.2059946702,19,220,2206,2.2764227642,0.9333333333
panic,0,1,6,41,0,1.3513513514,0.8042895442,0.1887544381,12,74,746,1.2195121951,0.5
despair,0,1,2,41,0,1.4285714286,0.1828153565,0.1550448333,4,70,1094,0.5691056911,0.2333333333
anticipation,0,1,1,41,0,1.4084507042,0.1988071571,0.1540988809,10,71,503,0.406504065,0.1666666667
calmness,0,1,3,41,0,1.2820512821,0.3708281829,0.1529270071,7,78,809,0.7317073171,0.3
exuberance,0,1,3,41,0,1.0638297872,0.3886010363,0.1322897145,9,94,772,0.7317073171,0.3
affection,0,1,2,41,0,1,0.2118644068,0.1141242938,8,100,944,0.5691056911,0.2333333333
pain,0,2,8,41,0,0.8510638298,0.3657978967,0.1094929094,30,235,2187,1.7886178862,0.7333333333
confidence,0,1,2,41,0,0.826446281,0.1597444089,0.0932942554,12,121,1252,0.5691056911,0.2333333333
embarrassment,0,1,4,41,0,0.6756756757,0.2741603838,0.0858449265,10,148,1459,0.8943089431,0.3666666667
enthusiasm,0,1,4,41,0,0.6172839506,0.2673796791,0.079553707,9,162,1496,0.8943089431,0.3666666667
hate,0,0,1,41,0,0,1.1904761905,0.0793650794,4,10,84,0.162601626,0.0666666667
worry,0,2,7,41,0,0.6451612903,0.1881214727,0.0770575605,19,310,3721,1.6260162602,0.6666666667
irritation,0,1,8,41,0,0.4608294931,0.4291845494,0.0746952526,25,217,1864,1.5447154472,0.6333333333
pleasure,0,1,4,41,0,0.5376344086,0.1916626737,0.0665409524,13,186,2087,0.8943089431,0.3666666667
compromise,0,1,7,41,0,0.4545454545,0.2366463827,0.061230971,13,220,2958,1.3821138211,0.5666666667
desire,0,1,6,41,0,0.4329004329,0.2434077079,0.0595172238,12,231,2465,1.2195121951,0.5
ecstasy,0,1,6,41,0,0.4424778761,0.2231312756,0.059123206,20,226,2689,1.2195121951,0.5
love,0,2,10,41,0,0.3984063745,0.2246686138,0.054818545,52,502,4451,2.1138211382,0.8666666667
indifference,0,0,1,41,0,0,0.8196721311,0.0546448087,14,38,122,0.162601626,0.0666666667
awe,0,0,6,41,0,0,0.7802340702,0.0520156047,11,91,769,0.9756097561,0.4
relief,0,3,8,41,0,0.4126547455,0.1485884101,0.0511713686,56,727,5384,2.0325203252,0.8333333333
patience,0,0,1,41,0,0,0.7633587786,0.0508905852,6,17,131,0.162601626,0.0666666667
dread,0,0,5,41,0,0,0.7518796992,0.0501253133,5,48,665,0.8130081301,0.3333333333
blame,0,1,7,41,0,0.3215434084,0.205640423,0.0458637024,19,311,3404,1.3821138211,0.5666666667
shame,0,1,12,41,0,0.2421307506,0.2826189355,0.0430543374,28,413,4246,2.1951219512,0.9
shock,0,2,10,41,0,0.2747252747,0.1786990708,0.0393857989,66,728,5596,2.1138211382,0.8666666667
stress,0,1,8,41,0,0.2557544757,0.1979707993,0.0387735009,27,391,4041,1.5447154472,0.6333333333
lust,0,0,5,41,0,0,0.5793742758,0.0386249517,15,82,863,0.8130081301,0.3333333333
trust,0,2,8,41,0,0.2659574468,0.1414177126,0.0360235922,44,752,5657,1.7886178862,0.7333333333
triumph,0,1,5,41,0,0.2457002457,0.1298364061,0.033225785,34,407,3851,1.0569105691,0.4333333333
enjoyment,0,0,4,41,0,0,0.4329004329,0.0288600289,6,71,924,0.6504065041,0.2666666667
envy,0,0,3,41,0,0,0.4016064257,0.0267737617,14,90,747,0.487804878,0.2
confusion,0,0,5,41,0,0,0.3891050584,0.0259403372,16,118,1285,0.8130081301,0.3333333333
mania,0,0,1,41,0,0,0.3703703704,0.024691358,8,35,270,0.162601626,0.0666666667
excitement,0,0,3,41,0,0,0.3488372093,0.023255814,16,101,860,0.487804878,0.2
happiness,0,0,2,41,0,0,0.3034901366,0.0202326758,4,66,659,0.325203252,0.1333333333
amusement,0,0,1,41,0,0,0.283286119,0.0188857413,5,36,353,0.162601626,0.0666666667
concern,0,0,10,41,0,0,0.2804262479,0.0186950832,24,382,3566,1.6260162602,0.6666666667
perturbation,0,0,5,41,0,0,0.2482621648,0.016550811,8,160,2014,0.8130081301,0.3333333333
wonder,0,0,4,41,0,0,0.2475247525,0.0165016502,30,159,1616,0.6504065041,0.2666666667
joy,0,0,3,41,0,0,0.2467105263,0.0164473684,10,105,1216,0.487804878,0.2
pride,0,0,4,41,0,0,0.2405291642,0.0160352776,12,151,1663,0.6504065041,0.2666666667
acceptance,0,0,4,41,0,0,0.237388724,0.0158259149,22,162,1685,0.6504065041,0.2666666667
rage,0,0,7,41,0,0,0.2360876897,0.0157391793,21,297,2965,1.1382113821,0.4666666667
dissonance,0,0,3,41,0,0,0.2293577982,0.0152905199,8,117,1308,0.487804878,0.2
gratitude,0,0,1,41,0,0,0.2136752137,0.0142450142,1,28,468,0.162601626,0.0666666667
lunacy,0,0,5,41,0,0,0.2104377104,0.0140291807,13,215,2376,0.8130081301,0.3333333333
disgust,0,0,4,41,0,0,0.2036659878,0.0135777325,11,144,1964,0.6504065041,0.2666666667
denial,0,0,1,41,0,0,0.2032520325,0.0135501355,23,80,492,0.162601626,0.0666666667
humility,0,0,1,41,0,0,0.2028397566,0.0135226504,3,36,493,0.162601626,0.0666666667
surprise,0,0,7,41,0,0,0.1900624491,0.0126708299,16,310,3683,1.1382113821,0.4666666667
gratification,0,0,1,41,0,0,0.1858736059,0.0123915737,3,56,538,0.162601626,0.0666666667
contempt,0,0,1,41,0,0,0.1655629139,0.0110375276,9,68,604,0.162601626,0.0666666667
appreciation,0,0,5,41,0,0,0.1608234159,0.0107215611,17,331,3109,0.8130081301,0.3333333333
satisfaction,0,0,2,41,0,0,0.1360544218,0.0090702948,13,130,1470,0.325203252,0.1333333333
grace,0,0,3,41,0,0,0.131061599,0.0087374399,32,267,2289,0.487804878,0.2
interest,0,0,7,41,0,0,0.1252236136,0.0083482409,42,731,5590,1.1382113821,0.4666666667
harmony,0,0,2,41,0,0,0.1239925604,0.0082661707,9,142,1613,0.325203252,0.1333333333
anger,0,0,4,41,0,0,0.1172332943,0.007815553,20,351,3412,0.6504065041,0.2666666667
reproach,0,0,1,41,0,0,0.1160092807,0.007733952,13,85,862,0.162601626,0.0666666667
admiration,0,0,0,41,0,0,0,0,10,92,951,0,0
anxiety,0,0,0,41,0,0,0,0,4,7,82,0,0
arousal,0,0,0,41,0,0,0,0,11,56,557,0,0
arrogance,0,0,0,41,0,0,0,0,5,24,196,0,0
boredom,0,0,0,41,0,0,0,0,3,10,29,0,0
contentment,0,0,0,41,0,0,0,0,1,4,66,0,0
curiosity,0,0,0,41,0,0,0,0,10,87,516,0,0
edginess,0,0,0,41,0,0,0,0,4,20,66,0,0
eroticism,0,0,0,41,0,0,0,0,9,16,85,0,0
